["port 1","LEFT"]
["port 3","RIGHT"]
["port 5","RIGHT"]
["port 4","RIGHT"]
["port 6","RIGHT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(45, 3)
1.9412609495217072e+14 3.3201410805310382e-02 1.2038039169668682e+01
1.9422613784878159e+14 2.6707442774742993e-02 1.2579939206330428e+01
1.9432628391278728e+14 2.3258285370846503e-02 1.3150823140964407e+01
1.9442653330385438e+14 2.0649954595101338e-02 1.3771150052257253e+01
1.9452688618197906e+14 1.8304495587046297e-02 1.4390490538808359e+01
1.9462734270748803e+14 1.6441503822532788e-02 1.4989007935329141e+01
1.9472790304103928e+14 1.5143123249183430e-02 1.5570427768856671e+01
1.9482856734362309e+14 1.4304799917578102e-02 1.6148469112378098e+01
1.9492933577656275e+14 1.3719553524211565e-02 1.6730270189275213e+01
1.9503020850151547e+14 1.3321002103980815e-02 1.7311688681594170e+01
1.9513118568047338e+14 1.4037675869240292e-02 1.7980044247077743e+01
1.9523226747576409e+14 1.1630481688763603e-02 1.8593082463266029e+01
1.9533345405005184e+14 9.9662588466958770e-03 1.9119883523598865e+01
1.9543474556633825e+14 9.1962482263552026e-03 1.9655705786185109e+01
1.9553614218796325e+14 8.5990852805411331e-03 2.0206311002287848e+01
1.9563764407860584e+14 8.1836329545544231e-03 2.0757285324092255e+01
1.9573925140228519e+14 4.4471145239372576e-03 2.2423194573975778e+01
1.9584096432336128e+14 4.9583352694290133e-03 2.2978584150730857e+01
1.9594278300653594e+14 4.9618628188200266e-03 2.3490216017120424e+01
("port 2","mode 1",1,"port 3",1,"transmission")
(45, 3)
1.9156067603833869e+14 4.9437030413976533e-02 -2.8509708323106633e+00
1.9165809156556488e+14 5.1511388191578626e-02 -2.3516436915066548e+00
1.9175560622183459e+14 5.5154125092318221e-02 -1.8361618823364581e+00
1.9185322015853397e+14 3.5610388993850141e-02 -1.1545812071075252e+00
1.9195093352735741e+14 3.9116196712823202e-02 -4.3847621298622219e-01
1.9204874648030866e+14 3.9163721028117868e-02 2.1468612406580667e-01
1.9214665916970141e+14 3.1418814968803790e-02 2.0339510063344171e-01
1.9224467174816003e+14 5.0213293794347552e-02 5.9658414624663936e-01
